|        Time |     Flux |
|     4.08691 |  1.00357 |
|     4.09552 |  0.98693 |
|     4.10443 |  1.00039 |
|     4.11273 | 0.991305 |
|     4.12164 |  1.00675 |
|     4.13025 |  1.01018 |
|     4.13885 |  1.00601 |
|     4.16473 |  0.99867 |
|     4.17334 |  1.00738 |
|     4.18195 | 0.994529 |
|     4.19086 |  1.01926 |
|     4.19946 | 0.994882 |
|     4.20807 |  1.00628 |
|     4.21667 |  1.00646 |
|     4.22528 |  1.00076 |
|     4.23389 | 0.991918 |
|     4.24249 |  1.00134 |
|      4.2511 |  1.00079 |
|      4.2597 |  1.00604 |
|     4.26831 | 0.997458 |
|     4.27722 | 0.997693 |
|     4.28552 |   1.0115 |
|     4.29443 | 0.999004 |
|     4.30304 |  1.00604 |
|     4.31165 | 0.994356 |
|     4.32025 |  1.01111 |
|     4.32886 | 0.996853 |
|     4.33746 | 0.996767 |
|     4.34607 | 0.997191 |
|     4.35468 | 0.998648 |
|     4.36328 | 0.987842 |
|     4.37219 |  1.00269 |
|      4.3808 |  1.01051 |
|      4.3894 | 0.996397 |
|     4.39801 |  1.00306 |
|     4.40668 |  1.00523 |
|     4.41528 | 0.990969 |
|     4.42389 | 0.995183 |
|      4.4325 |  1.00037 |
|      4.4411 | 0.998212 |
|     4.45001 | 0.992407 |
|     4.45831 | 0.992965 |
|     4.46722 | 0.998133 |
|     4.47583 | 0.995124 |
|     4.48444 |  1.00016 |
|     4.49304 |   1.0067 |
|     4.50165 | 0.991541 |
|     4.51025 | 0.993845 |
|     4.51886 |  1.00185 |
|     4.54498 |  1.01309 |
|     4.55359 | 0.997601 |
|     4.56219 | 0.989021 |
|      4.5708 | 0.998743 |
|     4.57941 | 0.993274 |
|     4.58801 | 0.995677 |
|     4.61383 | 0.997895 |
|     4.62274 |  1.00348 |
|      4.6311 |  1.00381 |
|     4.63995 | 0.994684 |
|     4.64856 | 0.990741 |
|     4.65723 |  1.00106 |
|     4.66583 | 0.991247 |
|     4.67444 | 0.997445 |
|     4.68304 |   1.0003 |
|     4.69165 | 0.999976 |
|     4.70032 |  1.00169 |
|     4.70892 |  1.01549 |
|     4.71777 |  1.00192 |
|     4.72638 |  1.00318 |
|     4.74359 |  0.99699 |
|      4.7522 | 0.990635 |
|      4.7608 | 0.989812 |
|     4.76947 |  1.00379 |
|     4.78668 |  0.98714 |
|     4.79553 | 0.992041 |
|     4.80389 |  0.99432 |
|     4.81274 | 0.997867 |
|     4.82135 | 0.997425 |
|     4.82996 |  1.00016 |
|     4.86444 | 0.999182 |
|     4.89911 | 0.994659 |
|     4.90778 |  0.99813 |
|     4.91638 | 0.989005 |
|     4.92499 |  1.00097 |
|     4.95947 | 0.993197 |
|     4.96832 | 0.984231 |
|     4.97668 | 0.989992 |
|     4.98553 | 0.997644 |
|     4.99414 |   0.9912 |
|     5.00281 | 0.981738 |
|     5.01141 | 0.991395 |
|     5.02002 | 0.986704 |
|     5.02863 | 0.987992 |
|     5.03723 | 0.994485 |
|     5.04584 |   0.9952 |
|     5.06329 | 0.987621 |
|      5.0719 |  1.00458 |
|     5.08051 | 0.992276 |
|     5.08917 | 0.986439 |
|     5.09778 | 0.998301 |
|     5.10638 | 0.997315 |
|     5.11499 | 0.999825 |
|     5.12384 | 0.996759 |
|      5.1322 | 0.997812 |
|     5.14105 | 0.992146 |
|     5.14941 | 0.985963 |
|     5.16699 | 0.985496 |
|      5.1756 | 0.986403 |
|      5.1842 | 0.983353 |
|     5.19281 | 0.992273 |
|     5.20142 |  0.99642 |
|     5.21002 | 0.990235 |
|     5.21887 | 0.994838 |
|     5.22723 | 0.992878 |
|     5.23615 | 0.992541 |
|     5.24475 | 0.995672 |
|     5.25336 | 0.995637 |
|     5.26196 | 0.985262 |
|     5.27057 | 0.998522 |
|     5.27917 | 0.987087 |
|     5.31384 |  1.00999 |
|     5.32251 | 0.995365 |
|     5.33112 | 0.984337 |
|     5.33972 | 0.988904 |
|     5.34833 |  1.00712 |
|     5.35693 | 0.977924 |
|     5.37415 |   0.9896 |
|     5.38275 | 0.995612 |
|     5.40894 | 0.994062 |
|     5.41754 | 0.981321 |
|     5.43475 | 0.983463 |
|     5.44336 | 0.980188 |
|     5.45197 | 0.984515 |
|     5.46057 | 0.981939 |
|     5.46918 |  1.00608 |
|     5.47778 | 0.978951 |
|     5.48669 | 0.979788 |
|       5.495 | 0.991346 |
|     5.51251 | 0.991416 |
|     5.52112 | 0.994582 |
|     5.52972 | 0.981793 |
|     5.53833 | 0.981759 |
|     5.54694 | 0.981969 |
|     5.55554 | 0.982464 |
|     5.56415 | 0.986785 |
|     5.57275 | 0.990577 |
|     5.58167 | 0.989873 |
|     5.59027 | 0.979717 |
|     5.59888 | 0.986962 |
|     5.60748 | 0.983184 |
|     5.61609 | 0.985089 |
|     5.62469 | 0.984688 |
|      5.6333 | 0.976946 |
|     5.64191 | 0.976377 |
|     5.65051 | 0.996056 |
|     5.65948 | 0.988281 |
|     5.66779 | 0.981243 |
|      5.6767 | 0.981855 |
|      5.6853 | 0.993397 |
|     5.71112 | 0.989606 |
|     5.71973 | 0.984184 |
|     5.72833 | 0.991175 |
|     5.73694 | 0.995706 |
|     5.74554 | 0.988644 |
|     5.75446 | 0.978834 |
|     5.76306 | 0.976634 |
|     5.77167 | 0.989818 |
|     5.78027 | 0.979911 |
|     5.78888 | 0.980034 |
|     5.79749 | 0.979836 |
|     5.80609 |  0.99029 |
|      5.8147 | 0.984882 |
|      5.8233 | 0.993115 |
|     5.83221 | 0.987123 |
|     5.84052 | 0.964102 |
|     5.84943 | 0.976401 |
|     5.85803 | 0.983171 |
|     5.86664 | 0.987363 |
|     5.87524 | 0.977656 |
|     5.88385 |  1.00472 |
|     5.89246 | 0.979457 |
|     5.90973 | 0.986158 |
|     5.91833 | 0.996679 |
|     5.92725 | 0.977751 |
|     5.95306 | 0.976602 |
|     5.96167 | 0.990508 |
|     5.97028 | 0.992732 |
|     5.97888 | 0.988043 |
|     5.98749 | 0.970903 |
|     5.99609 | 0.986155 |
|       6.005 | 0.990668 |
|     6.02222 | 0.999881 |
|     6.03082 | 0.978844 |
|     6.03943 | 0.988905 |
|     6.04803 | 0.980586 |
|     6.05664 | 0.991909 |
|     6.06525 | 0.972576 |
|     6.07385 | 0.987675 |
|     6.08276 | 0.984302 |
|     6.09106 | 0.976043 |
|     6.09998 | 0.991511 |
|     6.10858 | 0.973326 |
|     6.11719 | 0.983775 |
|     6.12579 | 0.983117 |
|      6.1344 |  0.98464 |
|     6.14301 | 0.994327 |
|     6.15161 | 0.980281 |
|      6.1778 | 0.980947 |
|     6.18616 | 0.971651 |
|     6.19501 | 0.985508 |
|     6.20361 | 0.972998 |
|     6.21222 | 0.981882 |
|     6.22083 | 0.979368 |
|     6.22943 | 0.983728 |
|     6.23804 | 0.995252 |
|     6.24664 | 0.974494 |
|     6.25555 | 0.983549 |
|     6.26416 | 0.975413 |
|     6.29858 | 0.981347 |
|     6.30719 | 0.982288 |
|      6.3158 | 0.988815 |
|      6.3244 |  0.96845 |
|     6.33301 | 0.981605 |
|     6.34161 | 0.977416 |
|     6.35052 | 0.975369 |
|     6.35889 | 0.988176 |
|     6.36774 | 0.981158 |
|     6.37634 | 0.983605 |
|     6.38495 | 0.986123 |
|     6.39355 | 0.981113 |
|     6.40216 | 0.978905 |
|     6.41113 | 0.976489 |
|     6.41949 | 0.984898 |
|     6.42834 |  0.98526 |
|     6.43695 | 0.969029 |
|     6.47137 | 0.974353 |
|     6.47998 | 0.981729 |
|     6.48859 | 0.987622 |
|     6.49719 | 0.979984 |
|     6.51447 | 0.964068 |
|     6.52332 | 0.975291 |
|     6.53192 | 0.984114 |
|     6.54053 | 0.982449 |
|     6.56635 | 0.980341 |
|     6.57495 | 0.981811 |
|     6.58362 | 0.986779 |
|     6.59222 | 0.985185 |
|     6.60107 |  1.00045 |
|     6.60944 | 0.985857 |
|     6.61829 | 0.996197 |
|     6.62689 | 0.967153 |
|      6.6355 | 0.991318 |
|      6.6441 | 0.990211 |
|     6.65277 | 0.977143 |
|     6.67004 |  0.97858 |
|     6.67865 | 0.980297 |
|     6.68726 | 0.974664 |
|     6.69611 | 0.986155 |
|     6.70471 |  0.98236 |
|     6.71332 |  0.97411 |
|     6.72192 | 0.992904 |
|     6.73053 | 0.981434 |
|      6.7392 | 0.976349 |
|      6.7478 | 0.978894 |
|     6.75641 | 0.968058 |
|     6.76501 |  0.97865 |
|     6.77386 | 0.974936 |
|     6.78223 | 0.980879 |
|     6.79108 | 0.984092 |
|     6.79968 |  0.98512 |
|     6.80829 | 0.973193 |
|     6.83417 | 0.978971 |
|     6.84277 |  0.97433 |
|     6.85162 | 0.990941 |
